Paweł,Nowak1,s459,2000-02-12,Informatyka dzienne,Dzienne,1@pjwstk.edu.pl,Alina,Adam
Paweł,Nowak1,s459,2000-02-12Informatyka magisterskie 4 sem,Dzienne,,1@pjwstk.edu.pl,Alina,Adam
Paweł,Nowak1,s459,2000-02-12,Informatyka doktoranckie,Dzienne,1@pjwstk.edu.pl,Alina,Adam
Kaja,Jankowski29,s4816,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,29@pjwstk.edu.pl,Alina,Adam
Justyna,Kowalski30,s4749,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,30@pjwstk.edu.pl,Alina,Adam
Justyna,Kowalski30,,s4749,2000-02-12,Sztuka Nowych Mediów uzupełniające magisterskie,Dzienne,30@pjwstk.edu.pl,Alina,Adam
Michał,Nowak31,s4432,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,31@pjwstk.edu.pl,Alina,Adam
Michał,Nowak31,s4432,2000-02-12,Sztuka Nowych Mediów uzupełniające magisterskie,Dzienne,31@pjwstk.edu.pl,Alina,Adam
Kamil,Brzęczyszczykiewicz32,s4757,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,32@pjwstk.edu.pl,Alina,Adam
Marta,Maciejewski33,s4655,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,33@pjwstk.edu.pl,Alina,Adam
Szymon,Jankowski34,s4398,2000-02-12,Sztuka Nowych Mediów dzienne,Dzienne,34@pjwstk.edu.pl,Alina,Adam
